age,interest,success
23.657800719276743,18.859916797201468,0.0
22.573729142097473,17.96922325097786,0.0
32.55342396968757,29.463651408558803,0.0
6.718035041529263,25.704665468161718,1.0
14.401918566243225,16.770856492924658,0.0
17.457907312962234,21.76521470574044,0.0
20.02796946568093,73.45445954770891,1.0
30.295138369778076,62.901112886193246,1.0
15.128977804449633,32.40267702110393,0.0
30.179457395820013,58.982492125646104,1.0
28.01649701854089,63.92781357637711,1.0
16.791838457871147,42.33482314089884,0.0
10.583694293380976,19.61926728942497,0.0
26.634447074406467,91.96624817360987,1.0
26.217868623367643,36.400293587062976,0.0
17.689396788624936,60.79797114006423,1.0
33.17193822527976,66.75277364959176,1.0
23.793952755709153,22.57501437360518,0.0
37.844484133572124,36.320623921263156,1.0
35.16135413357336,33.16395078484642,1.0
29.380894071974286,25.28297332192533,0.0
31.65893504663792,73.13603413708854,1.0
22.395840526778827,96.52036923305359,1.0
42.16637769301011,35.625714507549965,1.0
22.2355137049394,57.17122331160564,1.0
33.541272860059294,65.9622761867375,1.0
24.39165050609465,18.497414110064625,0.0
12.432182523835493,21.974367129932908,0.0
30.661148731501946,71.82244066557348,1.0
28.506478825724248,69.19427715370759,1.0
39.25524757112427,72.28256649083056,1.0
17.270592949490734,17.715127621418127,0.0
18.639151332834622,59.9683636449453,1.0
17.8915974615346,87.56584295961686,1.0
34.05068532984098,31.81089814279712,0.0
35.23149158419532,32.622396056659134,1.0
36.48082697155118,66.2587974889955,1.0
